Model,MAE,RMSE,R²
Random Forest Regressor,3.080976950335178,3.860228961659983,0.2732829414324014
Gradient Boosting Regressor,3.2513332613071397,4.056968148028373,0.19732003838149959
Linear Regression,3.39526092580192,4.1956808027213786,0.14149247411195787
